Asakusa,…浅草
Tokyo SKytree,…とうきょうスカイツリー
Osiage,…押上
Hikifune,…曳舟
Higashi-Mukojima,…東向島
Kanegafuchi,…鐘ヶ淵
Horikiri,…堀切
Ushida,…牛田
Kita-Senju,…北千住
Kosuge,…小菅
Gotanno,…五反野
Umejima,…梅島
Nishiarai,…西新井
Takenotsuka,…竹ノ塚
Yatsuka,…谷塚
Soka,…草加
Dokkyodaigakumae,…獨協大学前
Shinden,…新田
Gamo,…蒲生
Shin-Koshigaya,…新越谷
Koshigaya,…越谷
Kita-Koshigaya,…北越谷
Obukuro,…大袋
Sengendai,…せんげん台
Takesato,…武里
Ichinowari,…一ノ割
Kasukabe,…春日部
Kita-Kasukabe,…北春日部
Himemiya,…姫宮
Tobu-Dobutsu-Koen,…東武動物公園
Omurai,…小村井
Higashi-Azuma,…東あずま
Kameido Suijin,…亀戸水神
Kameido,…亀戸
Daishimae,…大師前
