Tobu-Dobutsu-Koen,…東武動物公園
Sugito-Takanodai,…杉戸高野台
Satte,…幸手
Minami-Kurihashi,…南栗橋
Kurihashi,…栗橋
Shin-Koga,…新古河
Yagyu,…柳生
Itaura Toyodai-mae,…板倉東洋大前
Fujioka,…藤岡
Shizuwa,…静和
Shin-Ohirashita,…新大平下
Tochigi,…栃木
Shin-Tochigi,…新栃木
Kassemba,…合戦場
Ienaka,…家中
Tobu-Kanazaki,…東武金崎
Niregi,…楡木
Momiyama,…樅山
Shin-Kanuma,…新鹿沼
Kita-Kanuma,…北鹿沼
Itaga,…板荷
Shimo-Goshiro,…下小代
Myojin,…明神
Shimo-Imaichi,…下今市
Kami-Imaichi,…上今市
Tobu-Nikko,…東武日光
Yashu-Hirakawa,…野州平川
Yashu-Otsuka,…野州大塚
Mibu,…壬生
Kuniya,…国谷
Omocha-no-Machi,…おもちゃのまち
Yasuzuka,…安塚
Nishi-kawada,…西川田
Eojima,…江島
Minami-Utsunomiya,…南宇都宮
Tobu-Utsunomiya,…東武宇都宮
