Omiya,…大宮
Kita-Omiya,…北大宮
Omiya-Koen,…大宮公園
Owada,…大和田
Nanasato,…七里
Iwatsuki,…岩槻
Higashi-Iwatsuki,…東岩槻
Toyoharu,…豊春
Yagisaki,…八木崎
Kasukabe,…春日部
Fujino-ushijima,…藤の牛島
Minami-Sakurai,…南桜井
Kawama,…川間
Nanakodai,…七光台
Shimizu-Koen,…清水公園
Atago,…愛宕
Nodashi,…野田市
Umesato,…梅郷
Unga,…運河
Edogawadai,…江戸川台
Hatsuishi,…初石
Nagareyama-otakanomori,…流山おおたかの森
Toyoshiki,…豊四季
Kashiwa,…柏
Shin-Kashiwa,…新柏
Masuo,…増尾
Sakasai,…逆井
Takayanagi,…高柳
Mutsumi,…六実
Shin-Kamagaya,…新鎌ヶ谷
Kamagaya,…鎌ケ谷
Magomezawa,…馬込沢
Tsukada,…塚田
Shin-Funabashi,…新船橋
Funabashi,…船橋
